soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,30,46,61,Dry,188410204,116913632
0,0,0,200,200,200,Moist,188410205,116913633
0,0,0,15,22,30,Moist,188410206,116913634
15,22,30,71,102,137,Wet,188410206,116913635
71,102,137,200,200,200,Moist,188410206,116913636
71,102,137,200,200,200,Moist,188410207,116913637
0,0,0,15,22,30,Moist,188410207,116913638
15,22,30,71,102,137,Wet,188410207,116913639
0,0,0,15,22,30,Moist,188410208,116913640
15,22,30,71,102,137,Wet,188410208,116913641
71,102,137,200,200,200,Moist,188410208,116913642
0,0,0,15,22,30,Moist,188410209,116913643
15,22,30,71,102,137,Wet,188410209,116913644
71,102,137,200,200,200,Moist,188410209,116913645
0,0,0,200,200,200,Moist,188410210,116913646
0,0,0,15,22,30,Moist,188410211,116913647
15,22,30,71,102,137,Wet,188410211,116913648
71,102,137,200,200,200,Moist,188410211,116913649
15,22,30,71,102,137,Wet,188410212,116913650
71,102,137,200,200,200,Moist,188410212,116913651
0,0,0,15,22,30,Moist,188410212,116913652
0,0,0,15,22,30,Moist,188410213,116913653
15,22,30,71,102,137,Wet,188410213,116913654
71,102,137,200,200,200,Moist,188410213,116913655
